company,metric,value,unit,basis,scope,vintage,confidence,source_url,quote_or_derivation
Google,contracted_capacity_cumulative,29,GW,contracted clean-energy agreements all resources,North America,through 2025,high (third-party limited assurance),https://sustainability.google/reports/google-2026-environmental-report/,"2026 Environmental Report: cumulative clean-energy agreements total over 29 GW in North America and nearly 35 GW globally through 2025. Not used directly as zero-water capacity because it includes nuclear, hydro, geothermal, storage, and other CFE."
Google,contracted_capacity_cumulative_global,35,GW,contracted clean-energy agreements all resources,Global,through 2025,high,https://sustainability.google/reports/google-2026-environmental-report/,"""From 2010 to 2025, we signed more than 240 agreements to purchase nearly 35 GW of net-new clean energy, with more than 12 GW contracted in 2025 alone."""
Google,contracted_zero_water_subset,16.7,GW,strict zero-water lower-bound default,North America,current conservative default,medium as lower bound / medium-low for true total,https://sustainability.google/reports/google-2026-environmental-report/,"Strict zero-water floor used in the model default. Google does not publish a US/NA wind-solar-only table; the 29+ GW North America clean-energy figure includes nuclear, hydropower, geothermal, storage, EAC agreements, and other CFE. The floor retains the previously audited North America wind/solar-oriented count pending a resource breakout."
Google,contracted_zero_water_aggregate_adjusted_low,26.8,GW,non-default aggregate-adjusted zero-water cross-check,North America,current through 2026-06-30,medium-low (inferred from aggregate),https://sustainability.google/reports/google-2026-environmental-report/,"29+ GW North America clean-energy through 2025 + 1.17 GW Clearway 2026 PPAs + 1.0 GW TotalEnergies 2026 solar PPAs - up to 4.415 GW known non-zero-water CFE (3.000 GW hydro framework + 0.600 GW Duane Arnold nuclear + 0.500 GW Kairos nuclear + 0.115 GW geothermal + 0.200 GW fusion) = about 26.8 GW. Not used as model default because the Google aggregate includes storage/EAC/resource ambiguity."
Google,contracted_zero_water_aggregate_adjusted_high,29.1,GW,non-default aggregate-adjusted zero-water cross-check,North America,current through 2026-06-30,medium-low (inferred from aggregate),https://sustainability.google/reports/google-2026-environmental-report/,"29+ GW North America clean-energy through 2025 + 1.17 GW Clearway 2026 PPAs + 1.0 GW TotalEnergies 2026 solar PPAs - 2.085 GW signed/known non-zero-water CFE (0.670 GW signed hydro + 0.600 GW Duane Arnold nuclear + 0.500 GW Kairos nuclear + 0.115 GW geothermal + 0.200 GW fusion) = about 29.1 GW. Not used as model default because the Google aggregate is rounded and not resource-specific."
Google,post_2025_zero_water_announcements,2.17,GW,announced 2026 solar/wind PPAs,US,2026 announcements,medium-high,https://www.clearwayenergygroup.com/press-releases/clearway-signs-portfolio-of-power-purchase-agreements-with-google-totaling-nearly-1-2-gw-across-three-states/,"Clearway 1.17 GW across Missouri, Texas, and West Virginia + TotalEnergies 1.0 GW Texas solar PPAs. Used only in the non-default aggregate-adjusted cross-check because these announcements are additive to Google's through-2025 North America aggregate."
Google,us_offsite_ppa_2025_bnef_total,4.181,GW,US offsite corporate PPAs announced in 2025,US,CY2025,high (BNEF factbook),https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"BCSE/BloombergNEF 2026 Sustainable Energy in America Factbook page 44: top corporate clean energy buyers in 2025 shows Google at 4,181 MW. Note: chart shows offsite corporate PPAs only and should not be added to Google's cumulative North America total."
Google,us_offsite_ppa_2025_bnef_zero_water_chart,2.66,GW,chart-derived solar/wind portion of 2025 US offsite PPAs,US,CY2025,medium (image digitization),https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"Digitized the BNEF/BCSE stacked bar for Google: solar 106 px + wind 29 px over 212 px total bar; 4.181 GW x 135/212 = 2.66 GW zero-water solar/wind. The remaining chart-derived hydro/nuclear portion is about 1.52 GW (nuclear 44 px + hydropower 33 px)."
Google,us_offsite_ppa_2025_bnef_hydro_nuclear_chart,1.52,GW,chart-derived hydro/nuclear portion of 2025 US offsite PPAs,US,CY2025,medium (image digitization),https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"Digitized the BNEF/BCSE stacked bar for Google: nuclear 44 px + hydropower 33 px over 212 px total bar; 4.181 GW x 77/212 = 1.52 GW. This corroborates excluding Google hydro/nuclear from zero-water credit."
Google,capacity_newly_online,2.5,GW,operating (came online in year),Global,CY2024,high,https://www.gstatic.com/gumdrop/sustainability/google-2025-environmental-report.pdf,"""more than 25 clean energy projects ... came online. Together they added 2.5 GW."" No cumulative operating GW is disclosed by Google."
Google,delivered_renewable_energy,11.875,TWh/yr,delivered/allocated (PPAs + other renewable agreements),North America,CY2023,high (report data table),https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,"NA ""Total renewable energy allocated"" 11,875,000 MWh vs NA total electricity 18,535,000 MWh = 64% annual-matched"
Google,delivered_renewable_energy,18.748,TWh/yr,delivered/allocated,North America,CY2024,high (report data table),https://www.gstatic.com/gumdrop/sustainability/google-2025-environmental-report.pdf,"NA ""Total renewable electricity allocated"" 18,747,600 MWh vs NA total 23,233,000 MWh = 81% annual-matched"
Google,delivered_renewable_energy_epa_gpp,10.109,TWh/yr,delivered (US green power; partial scope; floor),US,as-of Oct 2024 list (stale; unchanged from Oct 2023),medium,https://www.epa.gov/greenpower/green-power-partnership-national-top-100,"EPA GPP National Top 100 data XML: Google LLC 10,108,533,000 kWh, 107% of US org use. Use as corroborating floor only - EPA scope is annualized contract amounts, partial."
Google,unbundled_rec_share,~0,%,share of renewable volume from unbundled RECs,Global,2022,medium,https://www.energyconnects.com/news/renewables/2024/august/how-tech-companies-are-obscuring-ai-s-real-carbon-footprint/,"Bloomberg Aug 2024 analysis: Google ~0% unbundled RECs (vs Amazon 52% / Microsoft 51% / Meta 18%). EPA 2021-vintage mix: 73% physical PPA + 19% green tariff."
Google,hourly_cfe_us,68,%,hourly CFE (24/7 matching metric),US average,CY2023,high,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,"US regional CFE avg 68%: ERCOT 79 / MISO 95 / SPP 87 / PJM 52 / SOCO 42 etc."
